Year,Success,Failure,Partial_Failure,Total,Success_Rate
2000,81,4,0,85,0.9529411764705882
2001,56,1,2,59,0.9491525423728814
2002,60,4,1,65,0.9230769230769231
2003,61,2,0,63,0.9682539682539683
2004,51,2,2,55,0.9272727272727272
2005,52,3,0,55,0.9454545454545454
2006,62,4,1,67,0.9253731343283582
2007,63,3,2,68,0.9264705882352942
2008,65,2,2,69,0.9420289855072463
2009,73,4,1,78,0.9358974358974359
2010,70,4,0,74,0.9459459459459459
2011,77,5,2,84,0.9166666666666666
2012,73,3,2,78,0.9358974358974359
2013,78,3,0,81,0.9629629629629629
2014,89,2,2,93,0.956989247311828
2015,81,5,0,86,0.9418604651162791
2016,82,2,1,85,0.9647058823529412
2017,84,6,1,91,0.9230769230769231
2018,110,3,1,114,0.9649122807017544
2019,96,5,1,102,0.9411764705882353
2020,104,10,0,114,0.9122807017543859
2021,134,11,0,145,0.9241379310344827
2022,178,7,1,186,0.956989247311828
2023,212,9,1,222,0.954954954954955
2024,251,6,2,259,0.9691119691119691
2025,315,9,0,324,0.9722222222222222
